(1,	70.0)
(11,	60.0)
(21,	70.0)
(31,	90.0)
(41,	60.0)
(51,	80.0)
(61,	80.0)
(71,	70.0)
(81,	80.0)
(91,	60.0)
(101,	60.0)
(111,	30.0)
(121,	50.0)
(131,	60.0)
(141,	70.0)
(151,	50.0)
(161,	50.0)
(171,	50.0)
(181,	40.0)
(191,	50.0)
(201,	60.0)
(211,	50.0)
(221,	40.0)
(231,	50.0)
(241,	40.0)
(251,	70.0)
(261,	50.0)
(271,	70.0)
(281,	50.0)
(291,	50.0)
(301,	40.0)
(311,	60.0)
(321,	40.0)
(331,	60.0)
(341,	60.0)
(351,	50.0)
(361,	40.0)
(371,	50.0)
(381,	10.0)
(391,	60.0)
(401,	40.0)
(411,	60.0)
(421,	40.0)
(431,	60.0)
(441,	50.0)
(451,	60.0)
(461,	70.0)
(471,	70.0)
(481,	60.0)
(491,	60.0)
(501,	30.0)
(511,	40.0)
(521,	70.0)
(531,	30.0)
(541,	50.0)
(551,	40.0)
(561,	70.0)
(571,	70.0)
(581,	60.0)
(591,	70.0)
(601,	70.0)
(611,	40.0)
(621,	70.0)
(631,	60.0)
(641,	50.0)
(651,	40.0)
(661,	60.0)
(671,	50.0)
(681,	50.0)
(691,	50.0)
(701,	70.0)
(711,	40.0)
(721,	50.0)
(731,	20.0)
(741,	50.0)
(751,	50.0)
(761,	60.0)
(771,	50.0)
(781,	60.0)
(791,	60.0)
(801,	60.0)
(811,	40.0)
(821,	50.0)
(831,	80.0)
(841,	40.0)
(851,	80.0)
(861,	50.0)
(871,	80.0)
(881,	40.0)
(891,	60.0)
(901,	60.0)
(911,	60.0)
(921,	30.0)
(931,	30.0)
(941,	30.0)
(951,	40.0)
(961,	50.0)
(971,	60.0)
(981,	40.0)
(991,	70.0)
(1001,	40.0)
(1011,	50.0)
(1021,	70.0)
(1031,	40.0)
(1041,	70.0)
(1051,	30.0)
(1061,	50.0)
(1071,	50.0)
(1081,	70.0)
(1091,	50.0)
(1101,	60.0)
(1111,	40.0)
(1121,	50.0)
(1131,	70.0)
(1141,	70.0)
(1151,	60.0)
(1161,	40.0)
(1171,	60.0)
(1181,	30.0)
(1191,	30.0)
(1201,	40.0)
(1211,	60.0)
(1221,	60.0)
(1231,	60.0)
(1241,	30.0)
(1251,	50.0)
(1261,	50.0)
(1271,	60.0)
(1281,	50.0)
(1291,	50.0)
(1301,	60.0)
(1311,	60.0)
(1321,	60.0)
(1331,	20.0)
(1341,	40.0)
(1351,	40.0)
(1361,	40.0)
(1371,	60.0)
(1381,	40.0)
(1391,	50.0)
(1401,	40.0)
(1411,	50.0)
(1421,	60.0)
(1431,	50.0)
(1441,	40.0)
(1451,	70.0)
(1461,	50.0)
(1471,	70.0)
(1481,	60.0)
(1491,	70.0)
(1501,	30.0)
(1511,	40.0)
(1521,	40.0)
(1531,	20.0)
(1541,	50.0)
(1551,	60.0)
(1561,	50.0)
(1571,	50.0)
(1581,	40.0)
(1591,	50.0)
(1601,	70.0)
(1611,	40.0)
(1621,	50.0)
(1631,	50.0)
(1641,	50.0)
(1651,	60.0)
(1661,	50.0)
(1671,	50.0)
(1681,	50.0)
(1691,	50.0)
(1701,	50.0)
(1711,	60.0)
(1721,	50.0)
(1731,	40.0)
(1741,	50.0)
(1751,	50.0)
(1761,	30.0)
(1771,	30.0)
(1781,	50.0)
(1791,	50.0)
(1801,	50.0)
(1811,	60.0)
(1821,	50.0)
(1831,	70.0)
(1841,	80.0)
(1851,	50.0)
(1861,	60.0)
(1871,	30.0)
(1881,	60.0)
(1891,	50.0)
(1901,	30.0)
(1911,	60.0)
(1921,	30.0)
(1931,	50.0)
(1941,	60.0)
(1951,	40.0)
(1961,	50.0)
(1971,	60.0)
(1981,	50.0)
(1991,	40.0)
(2001,	40.0)
(2011,	50.0)
(2021,	30.0)
(2031,	40.0)
(2041,	10.0)
(2051,	40.0)
(2061,	30.0)
(2071,	50.0)
(2081,	50.0)
(2091,	40.0)
(2101,	50.0)
(2111,	60.0)
(2121,	50.0)
(2131,	50.0)
(2141,	30.0)
(2151,	60.0)
(2161,	70.0)
(2171,	50.0)
(2181,	50.0)
(2191,	40.0)
(2201,	60.0)
(2211,	60.0)
(2221,	40.0)
(2231,	50.0)
(2241,	50.0)
(2251,	60.0)
(2261,	50.0)
(2271,	50.0)
(2281,	0.0)
(2291,	0.0)
(2301,	10.0)
(2311,	10.0)
(2321,	0.0)
(2331,	0.0)
